Date,Adj Close,Close,High,Low,Open,Volume
2021-01-04,341.5887451171875,368.7900085449219,375.45001220703125,364.82000732421875,375.30999755859375,110210800
2021-01-05,343.9412841796875,371.3299865722656,372.5,368.04998779296875,368.1000061035156,66426200
2021-01-06,345.9975891113281,373.54998779296875,376.9800109863281,369.1199951171875,369.7099914550781,107997700
2021-01-07,351.1383361816406,379.1000061035156,379.8999938964844,375.9100036621094,376.1000061035156,68766800
2021-01-08,353.1389465332031,381.260009765625,381.489990234375,377.1000061035156,380.5899963378906,71677200
2021-01-11,350.758544921875,378.69000244140625,380.5799865722656,377.7200012207031,377.8500061035156,51034700
2021-01-12,350.83258056640625,378.7699890136719,379.8599853515625,376.3599853515625,378.8900146484375,52547700
2021-01-13,351.77734375,379.7900085449219,380.8599853515625,377.8500061035156,378.69000244140625,45303600
2021-01-14,350.5455017089844,378.4599914550781,381.1300048828125,378.1000061035156,380.5899963378906,49989100
2021-01-15,347.9890441894531,375.70001220703125,377.5799865722656,373.70001220703125,376.7200012207031,107160000
2021-01-19,350.72149658203125,378.6499938964844,379.2300109863281,376.75,378.3399963378906,51233300
2021-01-20,355.5749206542969,383.8900146484375,384.7900085449219,380.69000244140625,381.1099853515625,61836100
2021-01-21,355.8992004394531,384.239990234375,384.95001220703125,383.25,384.489990234375,47840100
2021-01-22,354.63946533203125,382.8800048828125,384.1300048828125,381.8399963378906,382.25,52860500
2021-01-25,356.0381164550781,384.3900146484375,384.7699890136719,378.4599914550781,383.6700134277344,70402000
2021-01-26,355.4822692871094,383.7900085449219,385.8500061035156,383.5400085449219,385.4100036621094,42665300
2021-01-27,346.79425048828125,374.4100036621094,380.32000732421875,372.010009765625,380.2200012207031,123351100
2021-01-28,349.7767028808594,377.6300048828125,381.92999267578125,375.8900146484375,376.3599853515625,94198100
2021-01-29,342.77435302734375,370.07000732421875,376.6700134277344,368.2699890136719,375.6300048828125,126765100
2021-02-01,348.4798889160156,376.2300109863281,377.3399963378906,370.3800048828125,373.7200012207031,75817600
2021-02-02,353.40753173828125,381.54998779296875,383.2200012207031,376.32000732421875,379.6499938964844,64450700
2021-02-03,353.68536376953125,381.8500061035156,383.70001220703125,380.4800109863281,382.44000244140625,52427100
2021-02-04,357.705322265625,386.19000244140625,386.239990234375,381.9700012207031,382.9599914550781,47142600
2021-02-05,359.1131896972656,387.7099914550781,388.4700012207031,386.1400146484375,388.20001220703125,48669800
2021-02-08,361.70660400390625,390.510009765625,390.55999755859375,388.3500061035156,389.2699890136719,38365200
2021-02-09,361.46588134765625,390.25,390.8900146484375,389.1700134277344,389.6099853515625,35551100
2021-02-10,361.30841064453125,390.0799865722656,392.2799987792969,387.5,392.1199951171875,59154400
2021-02-11,361.8918762207031,390.7099914550781,391.69000244140625,388.1000061035156,391.239990234375,42913300
2021-02-12,363.6795349121094,392.6400146484375,392.8999938964844,389.7699890136719,389.8500061035156,50593300
2021-02-16,363.3646240234375,392.29998779296875,394.1700134277344,391.5299987792969,393.9599914550781,50972400
2021-02-17,363.44805908203125,392.3900146484375,392.6600036621094,389.3299865722656,390.4200134277344,52290600
2021-02-18,361.9012145996094,390.7200012207031,391.5199890136719,387.739990234375,389.5899963378906,59712800
2021-02-19,361.2620544433594,390.0299987792969,392.3800048828125,389.54998779296875,392.07000732421875,83241000
2021-02-22,358.4832763671875,387.0299987792969,389.6199951171875,386.739990234375,387.05999755859375,67414200
2021-02-23,358.9186096191406,387.5,388.95001220703125,380.20001220703125,384.6600036621094,107284100
2021-02-24,362.8736572265625,391.7699890136719,392.2300109863281,385.2699890136719,386.3299865722656,72433900
2021-02-25,354.1299743652344,382.3299865722656,391.8800048828125,380.7799987792969,390.4100036621094,146670500
2021-02-26,352.3053283691406,380.3599853515625,385.5799865722656,378.2300109863281,384.3500061035156,152701600
2021-03-01,360.8452453613281,389.5799865722656,390.9200134277344,380.57000732421875,385.5899963378906,105348800
2021-03-02,358.02947998046875,386.5400085449219,390.07000732421875,386.0,389.82000732421875,79595300
2021-03-03,353.2872314453125,381.4200134277344,386.8299865722656,381.30999755859375,385.7900085449219,119940200
2021-03-04,348.9152526855469,376.70001220703125,384.0,371.8800048828125,381.2200012207031,183433000
2021-03-05,355.3341369628906,383.6300048828125,384.760009765625,372.6400146484375,380.4599914550781,152039600
2021-03-08,353.5650634765625,381.7200012207031,387.67999267578125,381.4200134277344,384.6600036621094,123149200
2021-03-09,358.6130065917969,387.1700134277344,389.9100036621094,385.30999755859375,385.8500061035156,113633600
2021-03-10,360.8452453613281,389.5799865722656,391.3999938964844,388.1700134277344,389.69000244140625,109899400
2021-03-11,364.5038757324219,393.5299987792969,395.6499938964844,391.739990234375,392.2300109863281,86245000
2021-03-12,364.99481201171875,394.05999755859375,394.2099914550781,391.20001220703125,392.07000732421875,64653600
2021-03-15,367.1715087890625,396.4100036621094,396.69000244140625,392.0299987792969,394.3299865722656,73427200
2021-03-16,366.7083740234375,395.9100036621094,397.8299865722656,395.0799865722656,397.07000732421875,73722500
2021-03-17,367.95880126953125,397.260009765625,398.1199951171875,393.29998779296875,394.5299987792969,97959300
2021-03-18,362.6051330566406,391.4800109863281,396.7200012207031,390.75,394.4800109863281,115349100
2021-03-19,361.9342346191406,389.4800109863281,391.57000732421875,387.1499938964844,389.8800048828125,113624500
2021-03-22,364.82421875,392.5899963378906,394.07000732421875,389.9700012207031,390.0299987792969,73778600
2021-03-23,361.9527282714844,389.5,393.4599914550781,388.6600036621094,391.9100036621094,90686600
2021-03-24,360.1128234863281,387.5199890136719,392.75,387.4700012207031,391.0,97588600
2021-03-25,362.1385803222656,389.70001220703125,390.54998779296875,383.8999938964844,385.9800109863281,116128600
2021-03-26,367.9744873046875,395.9800109863281,396.4100036621094,390.2900085449219,390.92999267578125,114409100
2021-03-29,367.7886657714844,395.7799987792969,396.75,392.80999755859375,394.3999938964844,108107600
2021-03-30,366.8129577636719,394.7300109863281,395.45001220703125,393.0199890136719,394.4200134277344,76262200
2021-03-31,368.2997741699219,396.3299865722656,398.0,395.30999755859375,395.3399963378906,112734200
2021-04-01,372.277099609375,400.6099853515625,400.6700134277344,398.17999267578125,398.3999938964844,99682900
2021-04-05,377.62030029296875,406.3599853515625,406.94000244140625,403.3800048828125,403.4599914550781,91684800
2021-04-06,377.3973693847656,406.1199951171875,407.239990234375,405.3999938964844,405.760009765625,62021000
2021-04-07,377.8340759277344,406.5899963378906,406.9599914550781,405.45001220703125,405.94000244140625,55836300
2021-04-08,379.6275634765625,408.5199890136719,408.5799865722656,406.92999267578125,407.92999267578125,57863100
2021-04-09,382.38751220703125,411.489990234375,411.6700134277344,408.260009765625,408.3900146484375,61104600
2021-04-12,382.5269775390625,411.6400146484375,411.92999267578125,410.20001220703125,410.8500061035156,56704900
2021-04-13,383.6606140136719,412.8599853515625,413.5299987792969,411.1199951171875,411.5299987792969,56551000
